#,Name,Types,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Generation,Legendary
1,Bulbasaur,GrassPoison,318,45,49,49,65,65,45,1,0
2,Ivysaur,GrassPoison,405,60,62,63,80,80,60,1,0
3,Venusaur,GrassPoison,525,80,82,83,100,100,80,1,0
3,Mega-Venusaur,GrassPoison,625,80,100,123,122,120,80,1,0
4,Charmander,Fire,309,39,52,43,60,50,65,1,0
5,Charmeleon,Fire,405,58,64,58,80,65,80,1,0
6,Charizard,FireFlying,534,78,84,78,109,85,100,1,0
6,Mega-Charizard X,FireDragon,634,78,130,111,130,85,100,1,0
6,Mega-Charizard Y,FireFlying,634,78,104,78,159,115,100,1,0
7,Squirtle,Water,314,44,48,65,50,64,43,1,0
8,Wartortle,Water,405,59,63,80,65,80,58,1,0
9,Blastoise,Water,530,79,83,100,85,105,78,1,0
9,Mega-Blastoise,Water,630,79,103,120,135,115,78,1,0
10,Caterpie,Bug,195,45,30,35,20,20,45,1,0
11,Metapod,Bug,205,50,20,55,25,25,30,1,0
12,Butterfree,BugFlying,395,60,45,50,90,80,70,1,0
13,Weedle,BugPoison,195,40,35,30,20,20,50,1,0
14,Kakuna,BugPoison,205,45,25,50,25,25,35,1,0
15,Beedrill,BugPoison,395,65,90,40,45,80,75,1,0
15,Mega-Beedrill,BugPoison,495,65,150,40,15,80,145,1,0
16,Pidgey,NormalFlying,251,40,45,40,35,35,56,1,0
17,Pidgeotto,NormalFlying,349,63,60,55,50,50,71,1,0
18,Pidgeot,NormalFlying,479,83,80,75,70,70,101,1,0
18,Mega-Pidgeot,NormalFlying,579,83,80,80,135,80,121,1,0
19,Rattata,Normal,253,30,56,35,25,35,72,1,0
20,Raticate,Normal,413,55,81,60,50,70,97,1,0
21,Spearow,NormalFlying,262,40,60,30,31,31,70,1,0
22,Fearow,NormalFlying,442,65,90,65,61,61,100,1,0
23,Ekans,Poison,288,35,60,44,40,54,55,1,0
24,Arbok,Poison,438,60,85,69,65,79,80,1,0
25,Pikachu,Electric,320,35,55,40,50,50,90,1,0
26,Raichu,Electric,485,60,90,55,90,80,110,1,0
27,Sandshrew,Ground,300,50,75,85,20,30,40,1,0
28,Sandslash,Ground,450,75,100,110,45,55,65,1,0
29,Nidoranâ™€,Poison,275,55,47,52,40,40,41,1,0
30,Nidorina,Poison,365,70,62,67,55,55,56,1,0
31,Nidoqueen,PoisonGround,505,90,92,87,75,85,76,1,0
32,Nidoranâ™,Poison,273,46,57,40,40,40,50,1,0
33,Nidorino,Poison,365,61,72,57,55,55,65,1,0
34,Nidoking,PoisonGround,505,81,102,77,85,75,85,1,0
35,Clefairy,Fairy,323,70,45,48,60,65,35,1,0
36,Clefable,Fairy,483,95,70,73,95,90,60,1,0
37,Vulpix,Fire,299,38,41,40,50,65,65,1,0
38,Ninetales,Fire,505,73,76,75,81,100,100,1,0
39,Jigglypuff,NormalFairy,270,115,45,20,45,25,20,1,0
40,Wigglytuff,NormalFairy,435,140,70,45,85,50,45,1,0
41,Zubat,PoisonFlying,245,40,45,35,30,40,55,1,0
42,Golbat,PoisonFlying,455,75,80,70,65,75,90,1,0
43,Oddish,GrassPoison,320,45,50,55,75,65,30,1,0
44,Gloom,GrassPoison,395,60,65,70,85,75,40,1,0
45,Vileplume,GrassPoison,490,75,80,85,110,90,50,1,0
46,Paras,BugGrass,285,35,70,55,45,55,25,1,0
47,Parasect,BugGrass,405,60,95,80,60,80,30,1,0
48,Venonat,BugPoison,305,60,55,50,40,55,45,1,0
49,Venomoth,BugPoison,450,70,65,60,90,75,90,1,0
50,Diglett,Ground,265,10,55,25,35,45,95,1,0
51,Dugtrio,Ground,405,35,80,50,50,70,120,1,0
52,Meowth,Normal,290,40,45,35,40,40,90,1,0
53,Persian,Normal,440,65,70,60,65,65,115,1,0
54,Psyduck,Water,320,50,52,48,65,50,55,1,0
55,Golduck,Water,500,80,82,78,95,80,85,1,0
56,Mankey,Fighting,305,40,80,35,35,45,70,1,0
57,Primeape,Fighting,455,65,105,60,60,70,95,1,0
58,Growlithe,Fire,350,55,70,45,70,50,60,1,0
59,Arcanine,Fire,555,90,110,80,100,80,95,1,0
60,Poliwag,Water,300,40,50,40,40,40,90,1,0
61,Poliwhirl,Water,385,65,65,65,50,50,90,1,0
62,Poliwrath,WaterFighting,510,90,95,95,70,90,70,1,0
63,Abra,Psychic,310,25,20,15,105,55,90,1,0
64,Kadabra,Psychic,400,40,35,30,120,70,105,1,0
65,Alakazam,Psychic,500,55,50,45,135,95,120,1,0
65,Mega-Alakazam,Psychic,590,55,50,65,175,95,150,1,0
66,Machop,Fighting,305,70,80,50,35,35,35,1,0
67,Machoke,Fighting,405,80,100,70,50,60,45,1,0
68,Machamp,Fighting,505,90,130,80,65,85,55,1,0
69,Bellsprout,GrassPoison,300,50,75,35,70,30,40,1,0
70,Weepinbell,GrassPoison,390,65,90,50,85,45,55,1,0
71,Victreebel,GrassPoison,490,80,105,65,100,70,70,1,0
72,Tentacool,WaterPoison,335,40,40,35,50,100,70,1,0
73,Tentacruel,WaterPoison,515,80,70,65,80,120,100,1,0
74,Geodude,RockGround,300,40,80,100,30,30,20,1,0
75,Graveler,RockGround,390,55,95,115,45,45,35,1,0
76,Golem,RockGround,495,80,120,130,55,65,45,1,0
77,Ponyta,Fire,410,50,85,55,65,65,90,1,0
78,Rapidash,Fire,500,65,100,70,80,80,105,1,0
79,Slowpoke,WaterPsychic,315,90,65,65,40,40,15,1,0
80,Slowbro,WaterPsychic,490,95,75,110,100,80,30,1,0
80,Galarian Slowbro,PoisonPsychic,490,95,100,95,100,70,30,1,0
80,Mega-Slowbro,WaterPsychic,590,95,75,180,130,80,30,1,0
81,Magnemite,ElectricSteel,325,25,35,70,95,55,45,1,0
82,Magneton,ElectricSteel,465,50,60,95,120,70,70,1,0
83,Farfetch'd,NormalFlying,352,52,65,55,58,62,60,1,0
84,Doduo,NormalFlying,310,35,85,45,35,35,75,1,0
85,Dodrio,NormalFlying,460,60,110,70,60,60,100,1,0
86,Seel,Water,325,65,45,55,45,70,45,1,0
87,Dewgong,WaterIce,475,90,70,80,70,95,70,1,0
88,Grimer,Poison,325,80,80,50,40,50,25,1,0
89,Muk,Poison,500,105,105,75,65,100,50,1,0
90,Shellder,Water,305,30,65,100,45,25,40,1,0
91,Cloyster,WaterIce,525,50,95,180,85,45,70,1,0
92,Gastly,GhostPoison,310,30,35,30,100,35,80,1,0
93,Haunter,GhostPoison,405,45,50,45,115,55,95,1,0
94,Gengar,GhostPoison,500,60,65,60,130,75,110,1,0
94,Mega-Gengar,GhostPoison,600,60,65,80,170,95,130,1,0
95,Onix,RockGround,385,35,45,160,30,45,70,1,0
96,Drowzee,Psychic,328,60,48,45,43,90,42,1,0
97,Hypno,Psychic,483,85,73,70,73,115,67,1,0
98,Krabby,Water,325,30,105,90,25,25,50,1,0
